first_name,last_name,email,attended_sessions,no_show_count,preferred_days,active
Andre,de Student,test17@gmail.com,0,0,0|1|2|3|4|5|6,1
Emiel,de Student,test19@gmail.com,0,0,0|1|2|3|4|5|6,1
Fleur,de Student,test21@gmail.com,0,0,0|1|2|3|4|5|6,1
Jan,de Student,test4@gmail.com,0,0,0|1|2|3|4|5|6,1
Jonathan,de Student,test8@gmail.com,0,0,0|1|2|3|4|5|6,1
Lisanne,de Student,test11@gmail.com,0,0,0|1|2|3|4|5|6,1
Maaike,de Student,test7@gmail.com,0,0,0|1|2|3|4|5|6,1
Manon,de Student,test12@gmail.com,0,0,0|1|2|3|4|5|6,1
Marco,de Student,test9@gmail.com,0,0,0|1|2|3|4|5|6,1
Mark,de Student,test6@gmail.com,0,0,0|1|2|3|4|5|6,1
Michel,de Student,test16@gmail.com,0,0,0|1|2|3|4|5|6,1
Nick,de Student,test18@gmail.com,0,0,0|1|2|3|4|5|6,1
Reinier,de Student,test15@gmail.com,0,0,0|1|2|3|4|5|6,1
Remco,de Student,test10@gmail.com,0,0,0|1|2|3|4|5|6,1
Sander,de Student,test5@gmail.com,0,0,0|1|2|3|4|5|6,1
Sandra,de Student,test20@gmail.com,0,0,0|1|2|3|4|5|6,1
Tessa,de Student,test13@gmail.com,0,0,0|1|2|3|4|5|6,1
Wopke,de Student,test14@gmail.com,0,0,0|1|2|3|4|5|6,1
